,,,
🔥 Daily 2-Hour Plan,,,
Time,Task,,
1 hr,Concept learning,,
1 hr,Problem solving,,
,,,
Time,Task,Activity,Activity
0:00 – 0:10,Warm‑up & review,Quickly recall previous knowledge (if any). Write down 3 things you already know about data types.,Quick recap of previous day (or warm‑up exercise)
0:10 – 0:35,Concept learning (Part 1),"Primitive types – int, char, float, double, bool, void. 
– sizeof each on your machine. 
– Signed vs unsigned, short vs long vs long long. 
– Integer promotion and conversion rules.",Deep dive into today's concepts (theory + examples)
0:35 – 1:00,Concept learning (Part 2),"Type qualifiers – const, volatile, mutable. 
– Storage classes – auto, register, static, extern, thread_local. 
– Memory layout – stack vs heap, data segment, BSS, text segment.",
1:00 – 1:10,Short break,"Stand up, stretch, hydrate.",Break
1:10 – 1:40,Hands‑on coding,"Write small programs to:
1. Print sizeof all basic types.
2. Demonstrate const vs constexpr (C++11).
3. Show volatile effect (disable optimisation with -O0).
4. Create a static variable inside a function and call it multiple times.",Coding / hands‑on implementation of core ideas
1:40 – 2:00,Problem solving,"Solve 2‑3 short problems:
1. Predict output: int a = 10; const int &r = a; a++; cout << r;
2. What is the size of an empty class? Why?
3. Explain the difference between int* p, int *p, int* p1, p2.",Problem solving (interview‑style questions)
,,,
,,,
,,,
,,,
Date,Day,Topic/Task,Sub-topics/Practice
09/04/2026,Thursday,"C++ data types, type qualifiers, memory layout","sizeof, alignment, const, volatile, mutable, storage classes"
10/04/2026,Friday,"Control flow – if, else, switch, loops","Nested conditionals, fall‑through, break vs continue, range‑based loops"
13/04/2026,Monday,"Functions – passing, overloading, default arguments, inline","Copy vs reference, move semantics (introduction)"
14/04/2026,Tuesday,"Pointers, references, const pointers, smart pointers","unique_ptr, shared_ptr, weak_ptr, circular reference avoidance"
15/04/2026,Wednesday,"Arrays, C‑strings, std::string, std::string_view","Performance, c_str(), data(), find, substr"
16/04/2026,Thursday,"Dynamic memory – new/delete, placement new, allocators","Memory leaks, RAII, custom allocators"
17/04/2026,Friday,"Object‑oriented basics – classes, constructors/destructors, this","Initialiser list, delegation, explicit"
20/04/2026,Monday,"Inheritance – virtual functions, vtable, polymorphism","override, final, virtual destructor"
21/04/2026,Tuesday,"Abstract classes, interfaces, multiple inheritance, diamond problem","Virtual inheritance, dynamic_cast"
22/04/2026,Wednesday,"Operator overloading, friend functions","Rules, << for logging, (), []"
23/04/2026,Thursday,"Exception handling – try/catch, throw, noexcept","Stack unwinding, exception safety guarantees"
24/04/2026,Friday,"Templates – function, class, variadic templates","Template specialisation, auto, decltype"
27/04/2026,Monday,"C++11/14/17/20 features – auto, lambda, constexpr, structured bindings","Lambda capture, generic lambda, if constexpr"
28/04/2026,Tuesday,"Move semantics, rvalue references, perfect forwarding","std::move, std::forward, copy‑and‑swap idiom"
29/04/2026,Wednesday,"STL containers – sequence: vector, deque, list, array","Iterator invalidation, memory usage, when to use which"
30/04/2026,Thursday,"STL associative – set, map, unordered_set, unordered_map","Hashing, custom comparators, emplace vs insert"
01/05/2026,Friday,"STL algorithms – sort, find, binary_search, accumulate, transform","Complexity, custom predicates, lambda in algorithms"
04/05/2026,Monday,"Function objects, std::function, std::bind, std::reference_wrapper","Performance overhead, when to use"
05/05/2026,Tuesday,"Concurrency – std::thread, std::async, std::future, std::promise","Data races, std::mutex, std::lock_guard, std::unique_lock"
06/05/2026,Wednesday,"Atomic operations, memory ordering, lock‑free programming","std::atomic, std::atomic_flag, compare‑and‑swap"
07/05/2026,Thursday,"Condition variables, semaphores, std::latch, std::barrier","Producer‑consumer, thread‑safe queue design"
08/05/2026,Friday,"Linux system calls – fork, exec, wait, pipe, FIFO","Process vs thread, orphan/zombie processes"
11/05/2026,Monday,"Signals – signal, sigaction, signal masks, sigwait","Async‑safe functions, real‑time signals"
12/05/2026,Tuesday,"Inter‑process communication – message queues, shared memory, semaphores","shmget, shmat, semop"
13/05/2026,Wednesday,"Sockets programming – TCP/UDP, blocking/non‑blocking, select/poll","socket, bind, listen, accept, connect"
